product_id,model,sku,upc,ean,jan,isbn,mpn,location,quantity,stock_status,image,manufacturer,shipping,price,price_extra_type,price_extra,points,tax_class,date_available,weight,weight_class,length,width,height,length_class,subtract,minimum,sort_order,status,metal,shipping_charge
93.0,Sample,,,,,,,,10.0,2-3 Days,https://ae.pricenacdn.com/img?d=ax182&src=http%3A%2F%2Ftrolley.ae%2Fimage%2Fcache%2Fdata%2Fnoon%2FN12277854A-500x500.jpg,,Yes,250.0,,0.0,500.0,,2018-09-28,0.0,Kilogram,0.0,0.0,0.0,Centimeter,Yes,1.0,1.0,Enabled,,
97.0,Demo Model 123,,,,,,,,0.0,,https://durramarkets.com/pub/media/catalog/product/cache/6508c324079c142fd2e5c1b7d20b937a/s/h/shutterstock_657786769.jpg,,No,0.0,,0.0,0.0,,0000-00-00,0.0,,0.0,0.0,0.0,,No,0.0,0.0,Disabled,,
98.0,Demo Model 123,,,,,,,,0.0,,https://elreedygroup.com/wp-content/uploads/2020/06/pepsi-diet-1L.jpg,,No,0.0,,0.0,0.0,,0000-00-00,0.0,,0.0,0.0,0.0,,No,0.0,0.0,Disabled,,
,,,,,,,,,,,https://superbekala.com/wp-content/uploads/2021/06/%E2%80%8F%D8%B3%D9%81%D9%86-%E2%80%8F%D8%A7%D8%A8.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://spinneys-egypt.com/cache/large/product/8031/Ifk5EcWLVhODJYXL7rBGGjnmjdA9wG9LaQxaiaWf.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/2K1aOP0B1cH363LgjGMGEk_ozxE=/trim/yaootaweb-production/media/crawledproductimages/4188c500969d7161573b87d11cbf5b9826c56957.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://kuzlomarket.com/ecdata/stores/IKWRI042/image/cache/data/products/504.1-500x500.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://albaqqal.com/wp-content/uploads/2021/01/928bd8a3d9ed58959c1a0b43d590245e296c0b42.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://spinneys-egypt.com/cache/large/product/8115/NnFsZ52xgEZ7ls4RdQdzYJNIZPe9A2qFo6ec9pxn.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/Yc6hSpwLBadM8Jxk20rRmi0jClQ=/trim/yaootaweb-production/media/crawledproductimages/10e9987cbe731718f5f5a6cd63206cf2d7d76cf4.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://img2.arabpng.com/20180701/aeb/kisspng-pepsi-max-fizzy-drinks-cola-diet-drink-5b392b13ec2d11.6298682515304732359674.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://img4.foodbevg.com/821/885/1486205308218857.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://spinneys-egypt.com/cache/medium/product/6495/9MKD3ivpEAFubObnr2yWSP0uzZSIOqanhHv72ApS.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2020/10/06/12/12/46/23/item_XL_12124623_6d82f137c8695.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://spinneys-egypt.com/cache/large/product/6526/0ByG8nOliynXQwRXBt91ByYnznajJkIfOf9ujR2X.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://jomlty.com/wp-content/uploads/2020/05/%D8%A7%D8%B1%D8%B2-%D9%85%D8%B5%D8%B1%D9%89-%D8%A7%D9%84%D8%B6%D8%AD%D9%89-5-%D9%83%D9%8A%D9%84%D9%88.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/HR7_1MG_Lg9ARSy2sad_2XqwcP0=/trim/yaootaweb-production/media/crawledproductimages/347663667d942aeaa94597384c5e6ef105a878da.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/CLyHFETnfat8pbXAvoYT_iX4cXI=/trim/yaootaweb-production/media/crawledproductimages/b2a92600d41036fd4fdb5984d2814b1fe0dd2c07.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://spinneys-egypt.com/cache/large/product/4838/SruzxRmVsvv3cq7O4NWxo8dnCmCf4lGyS7qfObdr.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://www.yodawy.com/wp-content/uploads/2020/12/277566.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://7agty.com/storage/402/conversions/medialibraryBRRwjR-card.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://superbekala.com/wp-content/uploads/2021/04/%D8%AC%D9%8A%D9%84%D9%8A%D8%AA-1.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://7agty.com/storage/402/conversions/medialibraryBRRwjR-card.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2019/05/14/29/59/32/81/item_XL_29593281_9ee93102c4cc7.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/lSWEi4Rdu55Pa_gL3mnrmkYiUzU=/trim/yaootaweb-production/media/crawledproductimages/8419bea864fedd14075214c4edcafc0736d03a29.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://beautikia.com/ecdata/stores/QGGHDT4768/image/data/products/gillette-razor-blue-ii-plus-promo-pack-15-pcs-5-pcs-free_0.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2019/02/19/45/65/73/40/item_L_45657340_2b1c7115e552c.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/Z0AKgDEYTPAG_Jr2f5Pd0wsTKNo=/trim/yaootaweb-production/media/crawledproductimages/980ae85fd349eaf67f32130ce3b99db83689b72d.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://m.media-amazon.com/images/I/51XHN1HnZcL._AC_SY580_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://m.media-amazon.com/images/I/51fFTEsD1lL._SL1200_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/s4rXROOIE9HFh1qCb5HOhZ64pvg=/trim/yaootaweb-production/media/crawledproductimages/2f9f72b782659a728197878a2a990c0f.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/qYG4wjWfem0QGwoxxSCojC-9w_Y=/trim/yaootaweb-production/media/crawledproductimages/ac8ba65f53ecebca12559d4e6e6d1a0a3c5fceb5.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://talabatcom.shop/assets/uploads/914f100b3b8b879b0136d693ce608457.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images-na.ssl-images-amazon.com/images/I/71n8O5JxTwL._AC_SL500_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf3.s3.souqcdn.com/item/2020/10/05/17/51/36/01/item_XL_17513601_0617543d9ccf6.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://7agty.com/storage/109/2124.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/0_mCcj7FmGKCH8yHlSabE_q806Y=/trim/yaootaweb-production/media/crawledproductimages/e67060628c039e9d5f3ba4f9226c2a7b9eec9b60.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2021/06/09/17/51/36/04/item_L_17513604_3090e010ddfa7.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://m.media-amazon.com/images/I/41kpZMm6PmL._AC_SY580_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://talabatcom.shop/assets/uploads/92a3d4fd5ef534cd63d1dafd11684f28.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://madinatymall.com/links/2021/03/MadinatyMall-202103-uncategorized-11695.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://spinneys-egypt.com/cache/medium/product/7144/M24I24BPvCXvh6WLSoiGJXUKX6qDllwgeYYIner5.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf5.s3.souqcdn.com/item/2020/02/02/39/54/62/38/item_XL_39546238_a8984935ca56f.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://m.media-amazon.com/images/I/41VPcy3JmsL._AC_SY580_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://7agty.com/storage/114/2099.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/qOe8kbX0kBdFcGMdC-04scF3Y3I=/trim/yaootaweb-production/media/crawledproductimages/c5b631a8308d869da56b3e4a1f33cefe24dce53b.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://elnadastore.com/wp-content/uploads/2021/04/%D9%85%D8%B5%D8%B1%D9%8A%D8%A9-%D8%AE%D9%88%D8%A7%D8%AA%D9%85.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/Ukbj7oG0h-nfoR7sxGp-g4n1SNc=/trim/yaootaweb-production/media/crawledproductimages/a34280b9f655a7c040b9a65a2c36a51df8489c5b.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/m8DOhw1ejl1xrV0pciH47tlAixU=/trim/yaootaweb-production/media/crawledproductimages/86b406af4f1c837ebd084e69829c88936967bc25.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/AdsV0LY0GaeSzs3KqMKgL9a_cKs=/trim/yaootaweb-production/media/crawledproductimages/5aed83617b2b7d9e9507289b93192c3e225e35d1.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/AdsV0LY0GaeSzs3KqMKgL9a_cKs=/trim/yaootaweb-production/media/crawledproductimages/5aed83617b2b7d9e9507289b93192c3e225e35d1.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/AdsV0LY0GaeSzs3KqMKgL9a_cKs=/trim/yaootaweb-production/media/crawledproductimages/5aed83617b2b7d9e9507289b93192c3e225e35d1.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"https://jumla.club/file-apis/v1/image/029fabfe-bd6a-480c-a76c-65e49e546882.z_e1,1_w600.jpg",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://m.media-amazon.com/images/I/51Fjux7r3RS._AC_SY780_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://static2.mumzworld.com/media/catalog/product/cache/7/image/9df78eab33525d08d6e5fb8d27136e95/a/s/asta-tr138-3m-scotch-brite-heavy-duty-pad-x-9-green-1595580642.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/-RUzCx2dtBPi4hTOVaYEgInghTc=/trim/yaootaweb-production/media/crawledproductimages/bf4b74c27038ededbca543a0bbfea52b84641bd5.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"https://jumla.club/file-apis/v1/image/4ebb13f2-094c-4da0-95aa-cc222bb4476a.z_e1,1_w400.jpg",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://static2.mumzworld.com/media/catalog/product/cache/7/image/9df78eab33525d08d6e5fb8d27136e95/a/s/asta-tr138-3m-scotch-brite-heavy-duty-pad-x-9-green-1595580642.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"https://jumla.club/file-apis/v1/image/4ebb13f2-094c-4da0-95aa-cc222bb4476a.z_e1,1_w400.jpg",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf5.s3.souqcdn.com/item/2018/06/05/35/69/11/61/item_L_35691161_139038507.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/e5aCUjGMVsnbzqthHwlK783Qg5s=/trim/yaootaweb-production/media/crawledproductimages/075718fb0a75143761f6e583adaf52ef719e9439.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf3.s3.souqcdn.com/item/2018/06/05/35/69/11/59/item_L_35691159_139038505.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/lhj-1DYz6MiyVAaT_DqnR0wvC94=/trim/yaootaweb-production/media/crawledproductimages/5f40b66097e1d9ab79209861dd9421445fc8f2c3.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf1.s3.souqcdn.com/item/2018/06/05/35/69/11/62/item_L_35691162_139038508.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf5.s3.souqcdn.com/item/2018/06/05/35/69/11/62/item_XL_35691162_139038508.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf5.s3.souqcdn.com/item/2018/06/05/35/69/11/62/item_XL_35691162_139038508.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://sc04.alicdn.com/kf/H458b33fd739b49b9bdc491e0da0800cdP.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf3.s3.souqcdn.com/item/2018/06/05/35/69/11/59/item_L_35691159_139038505.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/cU9EyQbqJLnJQbuP7MEDqoxqC4c=/trim/yaootaweb-production/media/crawledproductimages/df8dcf3c04c2264ecf9bd3fb38e129a36176c251.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/thVGYvmlMSFC8QmfOWlAPPjbC5s=/trim/yaootaweb-production/media/crawledproductimages/459d0bac65c459889c4acc2886716b1b044d4274.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/VkxcoAUf56R1eIPpCSMszTs0zok=/trim/yaootaweb-production/media/crawledproductimages/707d38f9f00d688a5cf4d09d26b92d89709bc360.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf5.s3.souqcdn.com/item/2017/06/20/23/14/99/32/item_L_23149932_32733604.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/gACcXie4uAanlwO06R2imLu_1uE=/trim/yaootaweb-production/media/crawledproductimages/c86300aa8f3d17657134a146b3c78452147616f7.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,http://we-easy.com/design/image/product/1551193962_8085.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://m.media-amazon.com/images/I/412I8jINQzL._AC_SY580_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/f6C925uZV0CBSZg5pd2sm2SwpMo=/trim/yaootaweb-production/media/crawledproductimages/c01b9bf82402e2b79a647dc3ac747bd0b2ce2d47.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://e7seb.com/wp-content/uploads/2020/04/hedyia-3.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://m.media-amazon.com/images/I/5106DHgNJmL._AC_SY580_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/bFkpguEgrjyvtF_dBPk6CA5Oews=/trim/yaootaweb-production/media/crawledproductimages/26802af7f4210de1b65ecf5c69d56aeded4046eb.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"https://m.media-amazon.com/images/S/aplus-media/sota/2d4f4866-a915-4d9b-8bfa-1ef68a9f1862.__CR0,0,970,600_PT0_SX970_V1___.jpg",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://www.ts3era.com/ts3eracop/uploads/2020/03/6-400-1-1-1.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://www.ts3era.com/ts3eracop/uploads/2020/02/650-.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://2.bp.blogspot.com/-Je5Hd72NY2M/VvfSzOPxFNI/AAAAAAAAS7Q/_KSbDhepWQklKKJraQo6YkDEIR_H5BF0A/s1600/%25D9%25A2%25D9%25A0%25D9%25A1%25D9%25A6%25D9%25A0%25D9%25A3%25D9%25A2%25D9%25A1_%25D9%25A1%25D9%25A9%25D9%25A4%25D9%25A1%25D9%25A0%25D9%25A6.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2018/03/08/32/23/22/54/item_XL_32232254_116007098.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://spinneys-egypt.com/cache/large/product/5004/SxjmXJbLkdcQATG0XpJKWg80kispquYlyEppE7dk.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://elreedygroup.com/wp-content/uploads/2020/12/%D8%A8%D8%B1%D9%8A%D9%84-%D8%B3%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D8%A7%D8%B7%D8%A8%D8%A7%D9%82-%D8%A8%D9%84%D8%B3%D9%85-600-%D8%AC%D9%85.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/cI73CtWqEWPiDIOtlqWDOlrG72A=/trim/yaootaweb-production/media/crawledproductimages/c4f13939c08e148a3f77256c5ee670b8ae7da0fc.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/ovp1kiVLU_3Hl0vq0C3g7sSFK_Q=/trim/yaootaweb-production/media/crawledproductimages/df28ab57e8f32ec5744887b084d833be753911c5.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2019/04/18/30/53/54/02/item_XL_30535402_db13f380d97fd.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/MG92Ag7nUVbJtPfG4NOe4LZimLU=/trim/yaootaweb-production/media/crawledproductimages/d75433533e9947285618b55791ba2499.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2019/12/05/92/91/24/09/item_XL_92912409_65da784d1d9ae.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images-na.ssl-images-amazon.com/images/I/71giG-ertlS._AC_SL500_.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cdn.hnak.com/products/extra-white-low-foam-detergent-powder-10kg/4w5pq-large.jpeg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://images.yaoota.com/m5rjGs4gsxatgbU18jBT4vXa4-Q=/trim/yaootaweb-production/media/crawledproductimages/f83965400da6b958af6688e456480cb3f4a0c652.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf5.s3.souqcdn.com/item/2020/12/13/13/21/73/88/9/item_L_132173889_2919a488ca4ec.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf1.s3.souqcdn.com/item/2020/06/10/13/09/61/11/6/item_L_130961116_b762bb785ebce.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://kaifanonline.com/ecdata/stores/GRYBA173/image/cache/data/products/1606063910_download-595x738.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf3.s3.souqcdn.com/item/2020/04/21/12/29/06/08/8/item_L_122906088_94f8e9933bed2.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2021/01/27/13/23/19/66/0/item_L_132319660_a177cea154e53.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf1.s3.souqcdn.com/item/2021/01/14/13/22/73/64/6/item_L_132273646_66789add335dd.jpg,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,https://cf2.s3.souqcdn.com/item/2018/03/08/32/23/64/27/item_XL_32236427_116015899.jpg,,,,,,,,,,,,,,,,,,,,
